wavelength      flux_density      ERROR      cl1      cl2      cl3
     26.51685     0.015815     0.000667          4.0            0            0
     26.68621     0.017762     0.000636          4.0            0            0
     26.85556     0.017904     0.000696          4.0            0            0
     27.02492     0.018484     0.000633          4.0            0            0
     27.19427     0.018473     0.000746          4.0            0            0
     27.36362     0.020304     0.000609          4.0            0            0
     27.53298     0.020766     0.000611          4.0            0            0
     27.70233     0.019283     0.000686          4.0            0            0
     27.87168     0.019560     0.000715          4.0            0            0
     28.04104     0.018946     0.000903          4.0            0            0
     28.21039     0.018870     0.000906          4.0            0            0
     28.37975     0.019541     0.000879          4.0            0            0
     28.54910     0.018359     0.000703          4.0            0            0
     28.71845     0.020564     0.000792          4.0            0            0
     28.88781     0.020549     0.000897          4.0            0            0
     29.05716     0.019890     0.000966          4.0            0            0
     29.22651     0.021482     0.000968          4.0            0            0
     29.39587     0.023118     0.000995          4.0            0            0
     29.56522     0.023609     0.000939          4.0            0            0
     29.73458     0.024028     0.000840          4.0            0            0
     29.90393     0.023217     0.000813          4.0            0            0
     30.07328     0.022630     0.000830          4.0            0            0
     30.24264     0.022309     0.000847          4.0            0            0
     30.41199     0.020892     0.001001          4.0            0            0
     30.58134     0.023190     0.000899          4.0            0            0
     30.75070     0.023235     0.001067          4.0            0            0
     30.92005     0.024222     0.001127          4.0            0            0
     31.08941     0.023975     0.001169          4.0            0            0
     31.25876     0.024144     0.001438          4.0            0            0
     31.42811     0.023541     0.001249          4.0            0            0
     31.59747     0.026448     0.001536          4.0            0            0
     31.76682     0.027410     0.001216          4.0            0            0
     31.93617     0.024989     0.001176          4.0            0            0
     32.10553     0.025002     0.001280          4.0            0            0
     32.27488     0.024378     0.001311          4.0            0            0
     32.44424     0.025941     0.001268          4.0            0            0
     32.61359     0.029261     0.001402          4.0            0            0
     32.78294     0.029422     0.001701          4.0            0            0
     32.95230     0.028203     0.001894          4.0            0            0
     33.12165     0.027215     0.001549          4.0            0            0
     33.29100     0.025597     0.001907          4.0            0            0
     33.46036     0.027919     0.003064          4.0            0            0
     33.62971     0.030599     0.002579          4.0            0            0
     33.79907     0.030155     0.002535          4.0            0            0
     33.96842     0.032644     0.002755          4.0            0            0
     34.13777     0.036940     0.002622          4.0            0            0
     34.30713     0.031743     0.003121          4.0            0            0
     34.47648     0.032077     0.002509          4.0            0            0
     34.64583     0.035624     0.002605          4.0            0            0
     34.81519     0.037851     0.002456          4.0            0            0
     34.98454     0.040912     0.002448          4.0            0            0
     35.15390     0.045369     0.002899          4.0            0            0
     35.32325     0.050448     0.003228          4.0            0            0
     35.49260     0.053125     0.003388          4.0            0            0
     35.66196     0.039747     0.004375          4.0            0            0
     35.83131     0.047710     0.004886          4.0            0            0
     36.00066     0.046239     0.004812          4.0            0            0
     36.17002     0.035974     0.006605          4.0            0            0
     36.33937     0.042049     0.005493          4.0            0            0
     36.50873     0.032549     0.004762          4.0            0            0
     36.67808     0.058398     0.005269          4.0            0            0
     36.84743     0.062581     0.005208          4.0            0            0
     37.01679     0.063406     0.005770          4.0            0            0
     37.18614     0.063825     0.008143          4.0            0            0
     37.35549     0.041061     0.007953          4.0            0            0
     37.52485     0.022388     0.007950          4.0            0            0
     37.69420     0.025816     0.008292          4.0            0            0
     37.86356     0.049937     0.012942          4.0            0            0
     38.03291     0.228537     0.015451          4.0            0            0
     38.20226     0.144437     0.015009          4.0            0            0
     38.37162     0.062792     0.011853          4.0            0            0
     38.54097     0.012305     0.013317          4.0            0            0
     38.71032     0.013740     0.016246          4.0            0            0
     38.87968     0.037247     0.016361          4.0            0            0
     39.04903     0.081862     0.021499          4.0            0            0
     39.21839     0.103689     0.022736          4.0            0            0
     39.38774     0.063616     0.019189          4.0            0            0
     39.55709     0.056337     0.025472          4.0            0            0
     39.72645    -0.033165     0.035628          4.0            0            0
     39.89580    -0.054609     0.025715          4.0            0            0
